Neighborhood,group_sic_code_name_ext,group_sic_code,count
Armour Square,Community Organizations,864110.0,1
Armour Square,Computer Parts & Supplies,573402.0,1
Armour Square,Computer Services,737101.0,1
Armour Square,Condominiums,651301.0,2
Armour Square,Construction Building Contractors,152130.0,7
Armour Square,Construction Materials NEC (Wholesale),503999.0,1
Armour Square,Copiers,504403.0,1
Armour Square,Day Care,835101.0,1
Armour Square,Department Stores,531102.0,1
Armour Square,Driving Instruction,829902.0,1
Armour Square,Dry Cleaners,721201.0,1
Armour Square,Electronic Equipment & Supplies Retail,573117.0,1
Armour Square,Federal Government General Offices,919901.0,1
Armour Square,Food Markets,541101.0,1
Armour Square,Food Specialties Retail,549910.0,1
Armour Square,Furniture Stores,571216.0,4
Armour Square,Garden Centers,526104.0,1
Armour Square,Gas Stations,554101.0,1
Armour Square,Grocers Health Foods,541108.0,1
Armour Square,Grocery Stores,541105.0,1
Armour Square,Hardware Stores,525104.0,1
Armour Square,Health Clubs & Gyms,799101.0,1
Armour Square,House Cleaning,734922.0,2
Armour Square,Investments,621111.0,1
Armour Square,Laboratories Agricultural,873122.0,1
Armour Square,Legal Services,811198.0,3
Armour Square,Manufacturers,399903.0,1
Armour Square,Nursing & Personal Care NEC,805999.0,2
Armour Square,Office Equipment (Wholesale),504498.0,1
Armour Square,Parking Garages,752102.0,1
Armour Square,Parks,799951.0,1
Armour Square,Pubs,581305.0,2
Armour Square,Real Estate Agents,653118.0,11
Armour Square,Retail Shops,531104.0,1
Armour Square,Schools (K-12),821103.0,3
Armour Square,Sportswear,569913.0,1
Armour Square,Stadiums Arenas & Athletic Fields,794104.0,1
Armour Square,Taxis,412101.0,1
Armour Square,Telecommunications Services,481302.0,1
Armour Square,Transportation Services,411914.0,2
Armour Square,Travel Agents,472402.0,3
Ashburn,(All) Auto Dealers,551102.0,1
Ashburn,(All) Dentists,802101.0,7
Ashburn,(All) Doctors,801101.0,7
Ashburn,(All) Insurance,641112.0,9
Ashburn,(All) Places Of Worship,866107.0,2
Ashburn,(All) Restaurants,581208.0,12
Ashburn,Advertising Marketing,731115.0,1
Ashburn,Appliances Household Major Repairing,762902.0,1
Ashburn,Auto Body Shops,753201.0,9
Ashburn,Auto Rental,751401.0,1
Ashburn,Bakers Cake & Pie,546103.0,3
Ashburn,Banks,602101.0,3
Ashburn,Barbers,724101.0,2
Ashburn,Bars,581301.0,4
Ashburn,Beauty Salons-Equipment &  Supplies (Wholesale),508702.0,24
Ashburn,Bowling Centers,793301.0,1
