Neighborhood,group_sic_code_name_ext,group_sic_code,count
Brightwood,Computer Parts & Supplies,573402.0,3
Brightwood,Computer Services,737101.0,2
Brightwood,Computer Software,573401.0,1
Brightwood,Construction Building Contractors,152130.0,8
Brightwood,Convenience Stores,541103.0,2
Brightwood,Currency Exchanges,609901.0,1
Brightwood,Curtains Shower & Bath Wholesale,502332.0,3
Brightwood,Day Care,835101.0,7
Brightwood,Delicatessens,581209.0,2
Brightwood,Department Stores,531102.0,1
Brightwood,Distribution Services,731908.0,1
Brightwood,Dry Cleaners,721201.0,4
Brightwood,Dvd Sales & Service,573132.0,1
Brightwood,Electric Equipment & Supplies Retail,521135.0,1
Brightwood,Federal Government General Offices,919901.0,3
Brightwood,Federal Government International Affairs,972101.0,5
Brightwood,Financial Planners,628205.0,1
Brightwood,Florists,599201.0,3
Brightwood,Food Markets,541101.0,5
Brightwood,Funeral Homes,726103.0,1
Brightwood,Furniture Stores,571216.0,3
Brightwood,Gas Stations,554101.0,4
Brightwood,Government Pension Health/Welfare Funds,637104.0,7
Brightwood,Grocers Health Foods,541108.0,1
Brightwood,Grocery Stores,541105.0,9
Brightwood,Health Clubs & Gyms,799101.0,2
Brightwood,Homes Personal Care Facility,805911.0,8
Brightwood,Hospitals,806202.0,4
Brightwood,Hostels,702103.0,1
Brightwood,Language Schools,829912.0,1
Brightwood,Laundry & Garment Services NEC,721999.0,3
Brightwood,Legal Services,811198.0,4
Brightwood,Manicurists,723102.0,3
Brightwood,Medical Supplies,504704.0,1
Brightwood,Museums,841201.0,1
Brightwood,Nursing & Personal Care NEC,805999.0,6
Brightwood,Pet Supplies,599929.0,1
Brightwood,Pharmacies,591205.0,3
Brightwood,Post Offices,431101.0,1
Brightwood,Preschools,835102.0,2
Brightwood,Publishers,274105.0,1
Brightwood,Pubs,581305.0,1
Brightwood,Real Estate Agents,653118.0,29
Brightwood,Recycling Centers (Wholesale),509312.0,1
Brightwood,Research Labs,873101.0,1
Brightwood,Retail Shops,531104.0,3
Brightwood,Rubber & Plastic Footwear Retail,566112.0,1
Brightwood,Schools (K-12),821103.0,3
Brightwood,Sportswear,569913.0,1
Brightwood,Tax Return Preparation & Filing,729101.0,4
Brightwood,Taxis,412101.0,1
Brightwood,Telephone Companies,481304.0,1
Brightwood,Travel Agents,472402.0,3
Brightwood,Variety Stores,533101.0,3
Brightwood,Wines Retail,592103.0,3
Capitol Hill,(All) Dentists,802101.0,5
Capitol Hill,(All) Doctors,801101.0,20
Capitol Hill,(All) Insurance,641112.0,1
